sciName,comName,speciesCode
Caprimulgus nubicus,Nubian Nightjar,nubnig1
Caprimulgus nubicus nubicus/tamaricis,Nubian Nightjar (Nubian),nubnig2
Caprimulgus nubicus torridus,Nubian Nightjar (Torrid),nubnig3
Caprimulgus nubicus jonesi,Nubian Nightjar (Socotra),nubnig4
Caprimulgus mahrattensis,Sykes's Nightjar,syknig1
Caprimulgus eximius,Golden Nightjar,golnig1
Caprimulgus macrurus,Large-tailed Nightjar,latnig2
Caprimulgus ritae,Timor Nightjar,timnig1
Caprimulgus andamanicus,Andaman Nightjar,andnig1
Caprimulgus meesi,Mees's Nightjar,meenig1
Caprimulgus atripennis,Jerdon's Nightjar,jernig1
Caprimulgus manillensis,Philippine Nightjar,phinig1
Caprimulgus celebensis,Sulawesi Nightjar,sulnig1
Caprimulgus donaldsoni,Donaldson Smith's Nightjar,dosnig1
Caprimulgus pectoralis,Fiery-necked Nightjar,finnig1
Caprimulgus pectoralis nigriscapularis,Fiery-necked Nightjar (Black-shouldered),bksnig1
Caprimulgus pectoralis [pectoralis Group],Fiery-necked Nightjar (Fiery-necked),finnig6
Caprimulgus poliocephalus,Montane Nightjar,monnig1
Caprimulgus poliocephalus poliocephalus,Montane Nightjar (Abyssinian),abynig1
Caprimulgus poliocephalus [ruwenzorii Group],Montane Nightjar (Rwenzori),monnig2
Caprimulgus asiaticus,Indian Nightjar,indnig1
Caprimulgus madagascariensis,Madagascar Nightjar,madnig1
Caprimulgus natalensis,Swamp Nightjar,swanig1
Caprimulgus inornatus,Plain Nightjar,planig1
Caprimulgus stellatus,Star-spotted Nightjar,stsnig1
Caprimulgus solala,Nechisar Nightjar,necnig1
Caprimulgus affinis,Savanna Nightjar,savnig1
Caprimulgus affinis [monticolus Group],Savanna Nightjar (Northern),savnig12
Caprimulgus affinis [affinis Group],Savanna Nightjar (Sunda),savnig13
Caprimulgus griseatus,Chirruping Nightjar,kaynig1
Caprimulgus tristigma,Freckled Nightjar,frenig1
Caprimulgus concretus,Bonaparte's Nightjar,bonnig1
Caprimulgus pulchellus,Salvadori's Nightjar,salnig1
Caprimulgus prigoginei,Itombwe Nightjar,itonig1
Caprimulgus batesi,Bates's Nightjar,batnig2
Caprimulgus climacurus,Long-tailed Nightjar,lotnig1
Caprimulgus clarus,Slender-tailed Nightjar,sltnig1
Caprimulgus fossii,Square-tailed Nightjar,sqtnig1
Caprimulgus sp.,Caprimulgus sp.,caprim1
Caprimulgidae sp.,nightjar sp.,nightj1
Phyllaemulor bracteatus,Rufous Potoo,rufpot1
Nyctibius grandis,Great Potoo,grepot1
Nyctibius aethereus,Long-tailed Potoo,lotpot1
Nyctibius griseus,Common Potoo,compot1
Nyctibius jamaicensis,Northern Potoo,norpot1
Nyctibius jamaicensis [mexicanus Group],Northern Potoo (Middle American),norpot2
Nyctibius jamaicensis jamaicensis/abbotti,Northern Potoo (Caribbean),norpot3
Nyctibius maculosus,Andean Potoo,andpot1
Nyctibius leucopterus,White-winged Potoo,whwpot1
Nyctibiidae sp.,potoo sp.,potoo1
Steatornis caripensis,Oilbird,oilbir1
Podargus strigoides,Tawny Frogmouth,tawfro1
Podargus ocellatus,Marbled Frogmouth,marfro1
Podargus ocellatus [ocellatus Group],Marbled Frogmouth (Marbled),marfro2
Podargus ocellatus plumiferus,Marbled Frogmouth (Plumed),marfro3
Podargus papuensis,Papuan Frogmouth,papfro1
Rigidipenna inexpectata,Solomons Frogmouth,soifro1
Batrachostomus auritus,Large Frogmouth,larfro1
Batrachostomus harterti,Dulit Frogmouth,dulfro1
Batrachostomus septimus,Philippine Frogmouth,phifro1
Batrachostomus stellatus,Gould's Frogmouth,goufro1
Batrachostomus moniliger,Sri Lanka Frogmouth,ceyfro1
Batrachostomus hodgsoni,Hodgson's Frogmouth,hodfro1
Batrachostomus poliolophus,Sumatran Frogmouth,shtfro3
Batrachostomus mixtus,Bornean Frogmouth,shtfro2
Batrachostomus javensis,Javan Frogmouth,javfro3
Batrachostomus affinis,Blyth's Frogmouth,javfro2
Batrachostomus affinis continentalis,Blyth's Frogmouth (Indochinese),blyfro1
Batrachostomus affinis affinis,Blyth's Frogmouth (Blyth's),blyfro2
Batrachostomus chaseni,Palawan Frogmouth,palfro1
Batrachostomus cornutus,Sunda Frogmouth,sunfro1
Batrachostomus sp.,Batrachostomus sp.,batrac1
Podargidae sp.,frogmouth sp.,frogmo1
Aegotheles savesi,New Caledonian Owlet-nightjar,nconig1
Aegotheles insignis,Feline Owlet-nightjar,feonig1
Aegotheles tatei,Starry Owlet-nightjar,spaown1
Aegotheles wallacii,Wallace's Owlet-nightjar,waonig1
Aegotheles albertisi,Mountain Owlet-nightjar,moonig1
Aegotheles crinifrons,Moluccan Owlet-nightjar,molown1
Aegotheles cristatus,Australian Owlet-nightjar,auonig1
Aegotheles affinis,Vogelkop Owlet-nightjar,barown2
Aegotheles bennettii,Barred Owlet-nightjar,barown1
Aegotheles bennettii bennettii/wiedenfeldi,Barred Owlet-nightjar (Barred),barown3
Aegotheles bennettii plumifer,Barred Owlet-nightjar (Dwarf),barown4
Aegotheles terborghi,Karimui Owlet-nightjar,barown5
Aegotheles sp.,owlet-nightjar sp.,owletn1
Cypseloides niger,Black Swift,blkswi
Cypseloides niger borealis,Black Swift (borealis),blkswi1
Cypseloides niger costaricensis,Black Swift (costaricensis),blkswi2
Cypseloides niger niger,Black Swift (niger),blkswi3
Cypseloides lemosi,White-chested Swift,whcswi2
Cypseloides rothschildi,Rothschild's Swift,rotswi1
Cypseloides fumigatus,Sooty Swift,sooswi1
Cypseloides storeri,White-fronted Swift,whfswi1
Cypseloides cryptus,White-chinned Swift,whcswi1
Cypseloides cherriei,Spot-fronted Swift,spfswi1
Cypseloides senex,Great Dusky Swift,grdswi1
Cypseloides sp.,Cypseloides sp.,cypsel1
Streptoprocne rutila,Chestnut-collared Swift,chcswi1
Streptoprocne phelpsi,Tepui Swift,tepswi1
Streptoprocne zonaris,White-collared Swift,whcswi
Streptoprocne semicollaris,White-naped Swift,whnswi1
Streptoprocne biscutata,Biscutate Swift,bisswi1
Streptoprocne sp.,Streptoprocne sp.,strept2
Mearnsia picina,Philippine Spinetail,phinee1
Mearnsia novaeguineae,Papuan Spinetail,papnee1
Zoonavena grandidieri,Madagascar Spinetail,malspi1
Zoonavena thomensis,Sao Tome Spinetail,satspi1
Zoonavena sylvatica,White-rumped Spinetail,whrnee1
Telacanthura ussheri,Mottled Spinetail,motspi1
Telacanthura melanopygia,Black Spinetail,blaspi1
Rhaphidura leucopygialis,Silver-rumped Spinetail,sirnee1
Rhaphidura sabini,Sabine's Spinetail,sabspi1
Neafrapus cassini,Cassin's Spinetail,casspi1
Neafrapus boehmi,Bat-like Spinetail,balspi1
Chaetura cinereiventris,Gray-rumped Swift,grrswi1
Chaetura cinereiventris phaeopygos,Gray-rumped Swift (phaeopygos),gyrswi3
Chaetura cinereiventris occidentalis,Gray-rumped Swift (occidentalis),gyrswi4
Chaetura cinereiventris [sclateri Group],Gray-rumped Swift (Ash-rumped),gyrswi1
Chaetura cinereiventris cinereiventris,Gray-rumped Swift (Gray-rumped),gyrswi2
Chaetura spinicaudus,Band-rumped Swift,barswi
Chaetura spinicaudus aetherodroma,Band-rumped Swift (aetherodroma),barswi1
Chaetura spinicaudus spinicaudus,Band-rumped Swift (spinicaudus),barswi2
Chaetura spinicaudus aethalea,Band-rumped Swift (aethalea),barswi3
Chaetura fumosa,Costa Rican Swift,corswi
Chaetura martinica,Lesser Antillean Swift,leaswi1
Chaetura egregia,Pale-rumped Swift,parswi1
Chaetura pelagica,Chimney Swift,chiswi
Chaetura vauxi,Vaux's Swift,vauswi
Chaetura vauxi vauxi,Vaux's Swift (Vaux's),vauswi1
Chaetura vauxi gaumeri,Vaux's Swift (Yucatan),vauswi2
Chaetura vauxi [richmondi Group],Vaux's Swift (Richmond's),vauswi3
Chaetura vauxi aphanes,Vaux's Swift (aphanes),vauswi4
Chaetura pelagica/vauxi,Chimney/Vaux's Swift,y00321
Chaetura chapmani,Chapman's Swift,chaswi2
Chaetura andrei,Ashy-tailed Swift,astswi1
Chaetura meridionalis,Sick's Swift,sicswi1
Chaetura brachyura,Short-tailed Swift,shtswi1
Chaetura brachyura [brachyura Group],Short-tailed Swift (Short-tailed),shtswi2
Chaetura brachyura ocypetes,Short-tailed Swift (Tumbes),shtswi3
Chaetura sp.,Chaetura sp.,chaetu
Hirundapus caudacutus,White-throated Needletail,whtnee
Hirundapus caudacutus caudacutus,White-throated Needletail (White-lored),whtnee1
Hirundapus caudacutus nudipes,White-throated Needletail (Himalayan),whtnee2
Hirundapus cochinchinensis,Silver-backed Needletail,sibnee1
Hirundapus giganteus,Brown-backed Needletail,brbnee1
Hirundapus celebensis,Purple Needletail,purnee1
Hirundapus sp.,needletail sp.,hirund1
Hydrochous gigas,Waterfall Swift,watswi1
Collocalia troglodytes,Pygmy Swiftlet,pygswi2
Collocalia dodgei,Bornean Swiftlet,cavswi3
Collocalia natalis,Christmas Island Swiftlet,chiswi1
Collocalia linchi,Cave Swiftlet,cavswi2
Collocalia affinis,Plume-toed Swiftlet,pltswi1
Collocalia marginata,Gray-rumped Swiftlet,gyrswi5
Collocalia isonota,Ridgetop Swiftlet,ridswi1
Collocalia marginata/isonota,Gray-rumped/Ridgetop Swiftlet,y01084
Collocalia sumbawae,Tenggara Swiftlet,tenswi1
Collocalia neglecta,Drab Swiftlet,draswi1
Collocalia esculenta,Glossy Swiftlet,gloswi1
Collocalia neglecta/esculenta,Drab/Glossy Swiftlet,y01077
Collocalia uropygialis,Satin Swiftlet,satswi1
Collocalia sp.,white-bellied swiftlet sp.,whbswi1
Aerodramus elaphrus,Seychelles Swiftlet,seyswi1
Aerodramus francicus,Mascarene Swiftlet,masswi1
Aerodramus unicolor,Indian Swiftlet,indswi1
Aerodramus infuscatus,Moluccan Swiftlet,molswi5
Aerodramus mearnsi,Philippine Swiftlet,phiswi1
Aerodramus hirundinaceus,Mountain Swiftlet,mouswi2
Aerodramus spodiopygius,White-rumped Swiftlet,whrswi2
Aerodramus terraereginae,Australian Swiftlet,ausswi1
Aerodramus brevirostris,Himalayan Swiftlet,himswi2
Aerodramus brevirostris brevirostris/innominatus,Himalayan Swiftlet (Himalayan),himswi1
Aerodramus brevirostris rogersi,Himalayan Swiftlet (Indochinese),indswi2
Aerodramus vulcanorum,Volcano Swiftlet,volswi1
Aerodramus whiteheadi,Whitehead's Swiftlet,whiswi1
Aerodramus nuditarsus,Bare-legged Swiftlet,balswi1
Aerodramus orientalis,Mayr's Swiftlet,mayswi1
Aerodramus amelis,Ameline Swiftlet,palswi2
Aerodramus vanikorensis,Uniform Swiftlet,uniswi1
Aerodramus salangana,Mossy-nest Swiftlet,monswi2
Aerodramus pelewensis,Palau Swiftlet,palswi1
Aerodramus bartschi,Mariana Swiftlet,marswi
Aerodramus inquietus,Caroline Islands Swiftlet,caiswi1
Aerodramus sawtelli,Atiu Swiftlet,atiswi1
Aerodramus leucophaeus,Tahiti Swiftlet,polswi1
Aerodramus ocistus,Marquesan Swiftlet,marswi2
Aerodramus maximus,Black-nest Swiftlet,blnswi1
Aerodramus fuciphagus,White-nest Swiftlet,y00731
Aerodramus fuciphagus germani/amechanus,White-nest Swiftlet (Germain's),gerswi1
Aerodramus fuciphagus [fuciphagus Group],White-nest Swiftlet (White-nest),ednswi1
Aerodramus papuensis,Three-toed Swiftlet,papswi1
Aerodramus sp.,dark swiftlet sp.,aerodr1
Collocalia/Aerodramus sp.,swiftlet sp.,swiftl1
Schoutedenapus myoptilus,Scarce Swift,scaswi1
Tachymarptis melba,Alpine Swift,alpswi1
Tachymarptis aequatorialis,Mottled Swift,motswi2
Apus alexandri,Cape Verde Swift,aleswi1
Apus apus,Common Swift,comswi
Apus alexandri/apus,Cape Verde/Common Swift,y01231
Apus unicolor,Plain Swift,plaswi1
Apus niansae,Nyanza Swift,nyaswi1
Apus pallidus,Pallid Swift,palswi3
Apus apus/pallidus,Common/Pallid Swift,y00732
Apus unicolor/pallidus,Plain/Pallid Swift,y00860
Apus barbatus,African Swift,afrswi1
Apus barbatus sladeniae,African Swift (Bioko),afrswi2
Apus barbatus [barbatus Group],African Swift (African),afrswi3
Apus apus/barbatus,Common/African Swift,y00370
Apus berliozi,Forbes-Watson's Swift,fowswi1
Apus bradfieldi,Bradfield's Swift,braswi1
Apus balstoni,Malagasy Swift,madswi1
Apus pacificus,Pacific Swift,fotswi
Apus salimalii,Salim Ali's Swift,saaswi1
Apus leuconyx,Blyth's Swift,blyswi1
Apus cooki,Cook's Swift,cooswi1
Apus pacificus/cooki,Pacific/Cook's Swift,y00959
Apus pacificus/salimalii/leuconyx/cooki,fork-tailed swift sp.,fotswi1
Apus acuticauda,Dark-rumped Swift,darswi1
Apus affinis,Little Swift,litswi1
Apus affinis [affinis Group],Little Swift (Little),litswi2
Apus affinis bannermani,Little Swift (Bannerman's),litswi3
Apus affinis singalensis,Little Swift (Indian),litswi4
Apus nipalensis,House Swift,houswi1
Apus affinis/nipalensis,Little/House Swift,y00960
Apus horus,Horus Swift,horswi1
Apus horus (White-rumped),Horus Swift (White-rumped),horswi2
Apus horus (Brown-rumped),Horus Swift (Brown-rumped),horswi3
Apus caffer,White-rumped Swift,whrswi1
Apus affinis x caffer,Little x White-rumped Swift (hybrid),x01060
Apus batesi,Bates's Swift,batswi1
Apus sp.,Apus sp.,apus2
Apus/Tachymarptis sp.,Apus/Tachymarptis sp.,apus1
Aeronautes saxatalis,White-throated Swift,whtswi
Aeronautes montivagus,White-tipped Swift,whtswi1
Aeronautes andecolus,Andean Swift,andswi1
Aeronautes montivagus/andecolus,White-tipped/Andean Swift,y00669
Panyptila cayennensis,Lesser Swallow-tailed Swift,lstswi1
Panyptila sanctihieronymi,Great Swallow-tailed Swift,gstswi1
Cypsiurus balasiensis,Asian Palm Swift,aspswi1
Cypsiurus parvus,African Palm Swift,afpswi1
Cypsiurus gracilis,Malagasy Palm Swift,malpas1
Cypsiurus gracilis griveaudi,Malagasy Palm Swift (Comoro),afrpas2
Cypsiurus gracilis gracilis,Malagasy Palm Swift (Madagascar),afrpas3
Tachornis phoenicobia,Antillean Palm Swift,anpswi
Tachornis furcata,Pygmy Palm Swift,pygswi1
Tachornis squamata,Fork-tailed Palm Swift,ftpswi1
Apodidae sp. (large swift sp.),large swift sp.,larswi1
Apodidae sp. (small swift sp.),small swift sp.,smaswi1
Apodidae sp.,swift sp.,swift1
Hemiprocne coronata,Crested Treeswift,cretre1
Hemiprocne longipennis,Gray-rumped Treeswift,gyrtre1
Hemiprocne comata,Whiskered Treeswift,whitre1
Hemiprocne mystacea,Moustached Treeswift,moutre1
Hemiprocne sp.,treeswift sp.,treesw1
Topaza pella,Crimson Topaz,critop1
Topaza pyra,Fiery Topaz,fietop1
Topaza pella/pyra,Crimson/Fiery Topaz,y00861
Florisuga mellivora,White-necked Jacobin,whnjac1
Florisuga fusca,Black Jacobin,blkjac1
Eutoxeres aquila,White-tipped Sicklebill,whtsic1
Eutoxeres condamini,Buff-tailed Sicklebill,butsic1
Eutoxeres aquila/condamini,White-tipped/Buff-tailed Sicklebill,y01339
Ramphodon naevius,Saw-billed Hermit,sabher1
Glaucis dohrnii,Hook-billed Hermit,hobher2
Glaucis aeneus,Bronzy Hermit,broher
Glaucis hirsutus,Rufous-breasted Hermit,rubher
Threnetes ruckeri,Band-tailed Barbthroat,batbar1
Threnetes leucurus,Pale-tailed Barbthroat,patbar1
Threnetes niger,Sooty Barbthroat,soobar1
Threnetes niger loehkeni,Sooty Barbthroat (Amapa),soobar3
Threnetes niger niger,Sooty Barbthroat (French Guiana),soobar4
Anopetia gounellei,Broad-tipped Hermit,brther2
Phaethornis hispidus,White-bearded Hermit,whbher1
Phaethornis yaruqui,White-whiskered Hermit,whwher1
Phaethornis guy,Green Hermit,greher1
Phaethornis syrmatophorus,Tawny-bellied Hermit,tabher1
Phaethornis koepckeae,Koepcke's Hermit,koeher1
Phaethornis philippii,Needle-billed Hermit,nebher1
Phaethornis bourcieri,Straight-billed Hermit,stbher1
Phaethornis bourcieri bourcieri,Straight-billed Hermit (bourcieri),stbher2
Phaethornis bourcieri major,Straight-billed Hermit (major),stbher3
Phaethornis longirostris,Long-billed Hermit,lobher
Phaethornis longirostris [longirostris Group],Long-billed Hermit (Central American),lobher1
Phaethornis longirostris baroni,Long-billed Hermit (Baron's),lobher3
Phaethornis mexicanus,Mexican Hermit,mexher1
Phaethornis mexicanus griseoventer,Mexican Hermit (Jalisco),lobher4
Phaethornis mexicanus mexicanus,Mexican Hermit (Mexican),lobher2
Phaethornis superciliosus,Long-tailed Hermit,lother1
Phaethornis longirostris/superciliosus,Long-billed/Long-tailed Hermit,y00596
Phaethornis malaris,Great-billed Hermit,grbher1
Phaethornis malaris malaris/insolitus,Great-billed Hermit (Great-billed),grbher6
Phaethornis malaris [moorei Group],Great-billed Hermit (Amazonian),grbher5
Phaethornis malaris margarettae,Great-billed Hermit (Margaretta's),grbher4
Phaethornis anthophilus,Pale-bellied Hermit,pabher1
Phaethornis squalidus,Dusky-throated Hermit,duther1
Phaethornis maranhaoensis [unrecognized species],Maranhao Hermit (unrecognized species),marher1
Phaethornis rupurumii,Streak-throated Hermit,stther1
Phaethornis longuemareus,Little Hermit,lither2
Phaethornis aethopygus,Tapajos Hermit,lither3
Phaethornis idaliae,Minute Hermit,minher1
Phaethornis nattereri,Cinnamon-throated Hermit,cither1
Phaethornis atrimentalis,Black-throated Hermit,bkther1
Phaethornis striigularis,Stripe-throated Hermit,stther2
Phaethornis griseogularis,Gray-chinned Hermit,gycher1
